i_sfh,i_ir,chi2,redshift,fmu_SFH,fmu_IR,mu,tauv,sSFR,Mstar,Ldust,T_W_BC,T_C_ISM,xi_C_tot,xi_PAH_tot,xi_MIR_tot,xi_W_tot,tvism,Mdust,SFR,A_V,age_M,Tdust,lg_M_Lh,lg_M_Lk,t_BC,n_BC,n_ISM,EbPrime,archivo
14840.0,3717.0,3.314,0.06241,0.204,0.072,0.136,1.322,2.212e-09,434500000.0,7545000000.0,61.4,29.4,0.06,0.011,0.099,0.83,0.18,235000.0,0.9611,0.34,8.553,59.153,-0.348,-0.13,10.0,1.3,0.7,0.842,0050_c.fit
4762.0,21970.0,4.129,0.1355,0.152,0.297,0.147,0.886,7.839e-09,529400000.0,36030000000.0,59.4,21.3,0.282,0.016,0.083,0.618,0.131,21040000.0,4.15,0.339,7.966,47.386,-0.55,-0.31,10.0,1.3,0.7,0.304,0086_c.fit
23043.0,4520.0,11.839,0.0866,0.06,0.118,0.112,0.358,1.184e-09,723700000.0,6898000000.0,76.7,31.1,0.111,0.046,0.053,0.79,0.04,193600.0,0.8572,0.124,8.862,70.802,-0.33,-0.127,10.0,1.3,0.7,0.024,0101_c.fit
13564.0,21970.0,34.331,0.065,0.1,0.297,0.113,1.929,7.175e-10,366900000.0,4948000000.0,59.4,21.3,0.282,0.016,0.083,0.618,0.217,2889000.0,0.2632,0.903,9.907,47.386,0.014,0.184,10.0,1.3,0.7,0.171,0152_c.fit
4645.0,1485.0,15.588,0.07477,0.097,0.023,0.199,0.04,8.65e-10,488000000.0,479300000.0,79.2,39.4,0.02,0.003,0.102,0.875,0.008,2214.0,0.4221,0.013,8.857,78.259,-0.241,-0.021,10.0,1.3,0.7,0.526,0174_c.fit
4932.0,14960.0,22.261,0.09685,0.261,0.457,0.2,2.885,1.839e-10,3707000000.0,20450000000.0,76.9,22.0,0.447,0.008,0.061,0.483,0.576,15120000.0,0.6817,0.84,9.246,50.324,0.108,0.31,10.0,1.3,0.7,0.237,0203_c.fit
16179.0,11950.0,22.324,0.15612,0.033,0.094,0.11,0.393,1.158e-08,157100000.0,36670000000.0,40.0,24.0,0.091,0.108,0.001,0.8,0.043,8046000.0,1.82,0.314,7.582,38.37,-1.199,-1.021,10.0,1.3,0.7,1.059,0227_c.fit
21674.0,17949.0,16.004,0.08929,0.13,0.303,0.137,0.202,9.907e-10,972300000.0,4149000000.0,70.0,34.7,0.295,0.018,0.067,0.62,0.028,163000.0,0.9633,0.042,8.864,58.311,0.012,0.253,10.0,1.3,0.7,0.169,0233_c.fit
9222.0,17199.0,9.52,0.05701,0.866,0.727,0.28,0.114,3.377e-11,318400000.0,212400000.0,75.4,38.7,0.721,0.018,0.032,0.229,0.032,9363.0,0.01075,0.035,8.265,47.45,-0.364,-0.179,10.0,1.3,0.7,0.051,0457_c.fit
17097.0,22239.0,10.719,0.06549,0.323,0.439,0.393,1.122,3.769e-09,516100000.0,18230000000.0,62.7,39.2,0.434,0.012,0.108,0.447,0.441,585300.0,1.946,0.606,8.314,50.912,-0.371,-0.161,10.0,1.3,0.7,1.205,0605_c.fit
12753.0,6979.0,8.344,0.24739,0.066,0.139,0.217,2.381,5.147e-09,2879000000.0,466200000000.0,75.9,39.6,0.131,0.025,0.079,0.766,0.517,5464000.0,14.81,1.581,8.272,70.315,-0.623,-0.471,10.0,1.3,0.7,0.876,0028_c.fit
14301.0,17949.0,2.632,0.18287,0.107,0.303,0.11,0.495,2.733e-09,2438000000.0,40970000000.0,70.0,34.7,0.295,0.018,0.067,0.62,0.054,1609000.0,6.663,0.128,8.442,58.311,-0.369,-0.152,10.0,1.3,0.7,0.301,0122_c.fit
18445.0,3717.0,8.84,0.16481,0.237,0.072,0.622,1.226,1.222e-08,1090000000.0,191700000000.0,61.4,29.4,0.06,0.011,0.099,0.83,0.763,5968000.0,13.32,1.057,7.453,59.153,-0.806,-0.623,10.0,1.3,0.7,0.042,0148_c.fit
5186.0,15188.0,2.775,0.26072,0.102,0.244,0.107,1.458,1.2e-08,2684000000.0,329600000000.0,69.8,23.0,0.235,0.007,0.085,0.672,0.156,100500000.0,32.21,0.647,7.666,57.45,-0.85,-0.663,10.0,1.3,0.7,1.09,0170_c.fit
5186.0,1216.0,7.289,0.1882,0.102,0.035,0.107,1.458,1.2e-08,1082000000.0,132800000000.0,74.4,26.3,0.029,0.004,0.157,0.81,0.156,2791000.0,12.98,0.647,7.666,72.702,-0.85,-0.663,10.0,1.3,0.7,1.09,0213_c.fit
6042.0,3031.0,21.19,0.31816,0.251,0.19,0.642,0.111,3.303e-09,1157000000.0,11050000000.0,35.1,32.7,0.143,0.145,0.356,0.356,0.071,1547000.0,3.821,0.086,8.393,34.642,-0.407,-0.185,10.0,1.3,0.7,0.029,0430_c.fit
8694.0,6505.0,6.344,0.31237,0.108,0.258,0.207,1.135,1.171e-08,1194000000.0,295900000000.0,73.3,37.6,0.245,0.021,0.074,0.66,0.235,6735000.0,13.99,0.775,7.279,63.253,-1.013,-0.824,10.0,1.3,0.7,0.821,0475_c.fit
8241.0,8005.0,0.921,0.28231,0.251,0.057,0.539,0.174,2.906e-09,2990000000.0,37240000000.0,46.8,34.4,0.047,0.103,0.006,0.844,0.094,2349000.0,8.69,0.118,8.462,46.151,-0.373,-0.152,10.0,1.3,0.7,0.711,0478_c.fit
20541.0,23902.0,47.706,0.28231,0.0,0.06,0.529,0.153,6.759e-09,72460000.0,20060000000.0,38.4,24.9,0.039,0.148,0.429,0.385,0.081,2169000.0,0.4898,0.169,9.356,37.235,-0.33,-0.045,10.0,1.3,0.7,0.817,0516_c.fit
7427.0,1216.0,5.926,0.19617,0.222,0.035,0.29,1.116,8.4e-09,1350000000.0,109400000000.0,74.4,26.3,0.029,0.004,0.157,0.81,0.324,2299000.0,11.34,0.567,7.958,72.702,-0.547,-0.322,10.0,1.3,0.7,0.145,0584_c.fit
9410.0,15188.0,27.537,0.01791,0.073,0.244,0.575,0.143,1.097e-08,7417000.0,1268000000.0,69.8,23.0,0.235,0.007,0.085,0.672,0.082,386600.0,0.08137,0.14,8.114,57.45,-0.933,-0.687,10.0,1.3,0.7,0.186,0022_c.fit
17291.0,6488.0,14.595,0.03756,0.126,0.29,0.273,0.023,1.038e-09,167800000.0,127300000.0,32.8,30.0,0.251,0.051,0.059,0.64,0.006,47400.0,0.1741,0.009,8.86,32.272,-0.233,-0.021,10.0,1.3,0.7,0.019,0036_c.fit
6092.0,17401.0,7.096,0.01923,0.227,0.345,0.152,0.227,1.731e-10,132500000.0,120800000.0,64.4,35.8,0.342,0.013,0.063,0.583,0.034,4888.0,0.02293,0.043,9.117,53.581,-0.021,0.203,10.0,1.3,0.7,0.463,0073_c.fit
15533.0,24174.0,3.295,0.01271,0.334,0.292,0.223,1.166,8.762e-10,22800000.0,206400000.0,60.3,32.2,0.286,0.018,0.117,0.58,0.26,12500.0,0.01998,0.344,8.54,50.867,-0.207,-0.009,10.0,1.3,0.7,0.409,0113_c.fit
18004.0,19305.0,9.528,0.04197,0.189,0.016,0.504,0.485,8.986e-09,91390000.0,8357000000.0,77.9,31.1,0.013,0.022,0.205,0.759,0.245,51660.0,0.8212,0.379,8.874,77.027,-0.708,-0.483,10.0,1.3,0.7,0.549,0220_c.fit
19957.0,18205.0,15.452,0.01365,0.065,0.099,0.245,0.197,5.047e-09,36780000.0,1351000000.0,64.2,36.2,0.099,0.01,0.085,0.806,0.048,25850.0,0.1856,0.139,9.5,61.034,-0.701,-0.516,10.0,1.3,0.7,1.159,0258_c.fit
12048.0,5681.0,20.321,0.0262,0.062,0.018,0.178,0.036,7.318e-09,62380000.0,552100000.0,64.8,38.9,0.013,0.004,0.211,0.771,0.006,5349.0,0.4565,0.016,7.993,64.337,-0.591,-0.35,10.0,1.3,0.7,0.284,0308_c.fit
